"Folio";"Numero Piece";"Date Piece";"Montant Fichier";"Montant Oracle";"Montant Interface";"Statut"
"ING";"0551R26071414";"01/07/2026";"127,62";"127,62";"127,62";"INTEGREE"
"ING";"0551R26071415";"01/07/2026";"266,66";"266,66";"266,66";"INTEGREE"
"ING";"0551R26071416";"01/07/2026";"298,8";"298,8";"298,8";"INTEGREE"
"ING";"0551R26071417";"01/07/2026";"591,43";"591,43";"591,43";"INTEGREE"
"ING";"0551R26071418";"01/07/2026";"356,89";"356,89";"356,89";"INTEGREE"
"ING";"0551R26071419";"01/07/2026";"255,24";"255,24";"255,24";"INTEGREE"
"ING";"0551R26071420";"01/07/2026";"197,15";"197,15";"197,15";"INTEGREE"
"ING";"0551R26071441";"01/07/2026";"602,69";"602,69";"602,69";"INTEGREE"
"ING";"0551R26071498";"01/07/2026";"716,51";"716,51";"716,51";"INTEGREE"
"ING";"0551R26071438";"01/07/2026";"1199,23";"1199,23";"1199,23";"INTEGREE"
"ING";"0551R26071371";"01/07/2026";"10837";"10837";"10837";"INTEGREE"
"ING";"0551R26071372";"01/07/2026";"1977,6";"1977,6";"1977,6";"INTEGREE"
"ING";"0551R26071489";"01/07/2026";"2504,45";"2504,45";"2504,45";"INTEGREE"
"ING";"0551R26071476";"01/07/2026";"531,91";"531,91";"531,91";"INTEGREE"
"ING";"0551R26071465";"01/07/2026";"1712,78";"1712,78";"1712,78";"INTEGREE"
"ING";"0551R26071466";"01/07/2026";"922,06";"922,06";"922,06";"INTEGREE"
